id,theme_id,theme_cn,theme_en,english,chinese
1,basic-expressions,基础表达,Basic Expressions,I am here.,我在这里。
2,basic-expressions,基础表达,Basic Expressions,You are here.,你在这里。
3,basic-expressions,基础表达,Basic Expressions,This is a block.,这是一个方块。
4,basic-expressions,基础表达,Basic Expressions,That is a tree.,那是一棵树。
5,basic-expressions,基础表达,Basic Expressions,I see a pig.,我看到一只猪。
6,basic-expressions,基础表达,Basic Expressions,I see a cow.,我看到一头牛。
7,basic-expressions,基础表达,Basic Expressions,I have a block.,我有一个方块。
8,basic-expressions,基础表达,Basic Expressions,I have a sword.,我有一把剑。
9,basic-expressions,基础表达,Basic Expressions,This is my house.,这是我的房子。
10,basic-expressions,基础表达,Basic Expressions,That is your house.,那是你的房子。
11,basic-expressions,基础表达,Basic Expressions,Come here.,过来。
12,basic-expressions,基础表达,Basic Expressions,Go there.,去那里。
13,basic-expressions,基础表达,Basic Expressions,Look at me.,看我。
14,basic-expressions,基础表达,Basic Expressions,Look at this.,看这个。
15,basic-expressions,基础表达,Basic Expressions,Help me.,帮帮我。
16,basic-expressions,基础表达,Basic Expressions,Wait for me.,等等我。
17,basic-expressions,基础表达,Basic Expressions,Follow me.,跟着我。
18,basic-expressions,基础表达,Basic Expressions,Stop!,停！
19,basic-expressions,基础表达,Basic Expressions,Let's go!,我们走吧！
20,basic-expressions,基础表达,Basic Expressions,Let's play!,我们来玩吧！
21,actions-and-commands,动作与指令,Actions and Commands,Break the block.,打破这个方块。
22,actions-and-commands,动作与指令,Actions and Commands,Place the block.,放置这个方块。
23,actions-and-commands,动作与指令,Actions and Commands,Open the door.,打开门。
24,actions-and-commands,动作与指令,Actions and Commands,Close the door.,关上门。
25,actions-and-commands,动作与指令,Actions and Commands,Jump!,跳！
26,actions-and-commands,动作与指令,Actions and Commands,Run!,跑！
27,actions-and-commands,动作与指令,Actions and Commands,Walk slowly.,慢慢走。
28,actions-and-commands,动作与指令,Actions and Commands,Dig here.,在这里挖。
29,actions-and-commands,动作与指令,Actions and Commands,Build here.,在这里建造。
